ATT_1753709131460,Kathmandu Valley,Cultural,Kathmandu,Easy,1400m,1 days,Every Months,"Ancient temples, UNESCO World Heritage Sites, cultural heritage (Pashupatinath, Swayambhunath, Durbar Squares)",100.00,Active,kathmandu_valley_1753709131443.jpg
ATT_1753709576458,Pokhara,Natural Wonder,Kaski District – Gandaki Province,Easy,822m,2-3 days,Sept–Nov,"A scenic lake city surrounded by mountains. Known for Phewa Lake, paragliding, caves, and as the starting point for Annapurna region treks. Offers both adventure and relaxation.",89.00,Active,pokhara_1753709576453.jpg
ATT_1753710018358,Annapurna Base Camp (ABC) Trek,Trekking,Kaski & Myagdi – Gandaki Province,Hard,4130m,7-10 days,October–November,"Diverse trek through forests, villages, and mountains",159.00,Active,annapurna_base_camp__abc__trek_1753710018354.jpg
ATT_1753710252759,Everest Base Camp Trek (EBC),Mountain Peak,Solukhumbu – Koshi,Extreme,5364m,12–14 days,Oct–Nov,Legendary trek to the foot of Mount Everest,299.00,Active,everest_base_camp_trek__ebc__1753710252755.jpg
ATT_1753710490475,Poon Hill Trek,Trekking,Myagdi – Gandaki Province,Moderate,3210m,3–5 days,October–November,Short trek with stunning sunrise views,99.00,Active,poon_hill_trek_1753710490472.jpg
ATT_1753710671978,Chitwan National Park,National Park,Chitwan – Bagmati Province,Easy,815m,2–3 days,October–March,Wildlife safari park known for rhinos and jungle activities,59.00,Active,chitwan_national_park_1753710671973.jpg
ATT_1753714621252,Bardia National Park,National Park,Bardiya – Lumbini Province,Easy,1449m,3–4 days,October–March,Remote park with good chances of tiger sightings,35.00,Active,bardia_national_park_1753714621247.jpg
ATT_1753714734470,Lumbini,Historical,Rupandehi – Lumbini Province,Easy,150m,1–2 days,October–March,"Birthplace of Lord Buddha, spiritual monasteries",49.00,Active,lumbini_1753714734464.jpg
ATT_1753714890371,Rara Lake,Natural Wonder,Mugu – Karnali Province,Moderate,2990m,5–7 days,April–June,Remote and serene alpine lake,77.00,Active,rara_lake_1753714890365.jpg
ATT_1753715110054,Paragliding in Sarangkot (Pokhara),Adventure,Sarangkot Hill- Pokhara,Moderate,1592m,1 day,March to May,Fly like a bird over Phewa Lake and the lush Pokhara valley with panoramic views of the Annapurna and Dhaulagiri ranges. Sarangkot is one of the world’s top paragliding destinations.,90.00,Active,paragliding_in_sarangkot__pokhara__1753715110049.jpg
ATT_1753715263104,White Water Rafting – Trishuli River,Adventure,Between Kathmandu and Pokhara,Hard,600m,1–2 days,October to November,"Ride thrilling rapids, enjoy calm scenic stretches, and camp riverside. Trishuli is ideal for both first-timers and experienced rafters, with grade II–III+ rapids.",45.00,Active,white_water_rafting___trishuli_river_1753715263100.jpg
ATT_1753715455105,Mera Peak,Mountain Peak,Hinku Valley-Solukhumbu District,Extreme,6476m,16–20 days,April–May,"Nepal’s highest trekking peak. Mera offers breathtaking views of Everest, Lhotse, and Makalu. Less technical, suitable for beginners with basic climbing experience.",140.00,Active,mera_peak_1753715455100.jpg
ATT_1753715566941,Manaslu,Mountain Peak,Gorkha District,Extreme,8163m,25–30 days,September–November,"A remote, challenging expedition for experienced climbers. Known for its wild terrain, fewer crowds, and beautiful trails through the Manaslu Conservation Area.",300.00,Active,manaslu_1753715566935.jpg
ATT_1753715682556,Ama Dablam,Mountain Peak,Khumbu Region-Solukhumbu District,Extreme,6812m,25–30 days,October to November,"Ama Dablam is one of the most stunning peaks in the Himalayas, often called the “Matterhorn of the Himalayas.” It’s admired for its sharp, pyramid-like shape and lies on the Everest trekking route. While more technical than Everest, it attracts experienced climbers from around the world.",350.00,Active,ama_dablam_1753715682551.jpg
ATT_1753715972740,Patan Durbar Square,Cultural,Lalitpur- south of Kathmandu,Easy,1400m,1 day,September to May,"A center of Newari art and craftsmanship, with intricate temples, palace courtyards, and the Patan Museum. Famous for its bronze statues and wood carvings.",30.00,Active,patan_durbar_square_1753715972722.jpg
